entry_ts,exit_ts,direction,pnl_ticks
2025-05-27 15:30:00 UTC,2025-05-27 15:50:00 UTC,long,45.0
2025-05-27 15:15:00 UTC,2025-05-27 20:55:00 UTC,long,268.0
2025-05-27 15:30:00 UTC,2025-05-27 20:55:00 UTC,long,268.0
2025-05-28 15:00:00 UTC,2025-05-28 15:05:00 UTC,short,75.0
2025-05-28 15:00:00 UTC,2025-05-28 20:55:00 UTC,short,208.0
2025-05-29 15:00:00 UTC,2025-05-29 15:05:00 UTC,short,75.0
2025-05-29 15:00:00 UTC,2025-05-29 20:55:00 UTC,short,-11.0
2025-05-30 15:00:00 UTC,2025-05-30 15:10:00 UTC,long,15.0
2025-05-30 15:20:00 UTC,2025-05-30 15:30:00 UTC,long,35.0
2025-05-30 15:00:00 UTC,2025-05-30 20:55:00 UTC,long,35.0
2025-05-30 15:20:00 UTC,2025-05-30 20:55:00 UTC,long,35.0
2025-06-02 15:25:00 UTC,2025-06-02 15:40:00 UTC,short,25.0
2025-06-02 16:00:00 UTC,2025-06-02 16:10:00 UTC,short,-25.0
2025-06-02 15:25:00 UTC,2025-06-02 20:55:00 UTC,short,-269.0
2025-06-02 16:00:00 UTC,2025-06-02 20:55:00 UTC,short,-269.0
2025-06-03 15:00:00 UTC,2025-06-03 15:05:00 UTC,long,108.0
2025-06-03 15:00:00 UTC,2025-06-03 20:55:00 UTC,long,256.0
2025-06-04 15:00:00 UTC,2025-06-04 15:10:00 UTC,long,15.0
2025-06-04 15:20:00 UTC,2025-06-04 15:25:00 UTC,long,-25.0
2025-06-04 15:00:00 UTC,2025-06-04 20:55:00 UTC,long,-164.0
2025-06-04 15:20:00 UTC,2025-06-04 20:55:00 UTC,long,-164.0
2025-06-05 15:00:00 UTC,2025-06-05 15:05:00 UTC,short,-25.0
2025-06-05 15:15:00 UTC,2025-06-05 15:25:00 UTC,long,-25.0
2025-06-05 15:00:00 UTC,2025-06-05 20:55:00 UTC,short,139.0
2025-06-05 15:15:00 UTC,2025-06-05 20:55:00 UTC,long,-217.0
2025-06-06 15:00:00 UTC,2025-06-06 15:05:00 UTC,long,75.0
2025-06-06 15:15:00 UTC,2025-06-06 15:20:00 UTC,long,-25.0
2025-06-06 15:00:00 UTC,2025-06-06 20:55:00 UTC,long,32.0
2025-06-06 15:15:00 UTC,2025-06-06 20:55:00 UTC,long,32.0
2025-06-09 15:00:00 UTC,2025-06-09 15:05:00 UTC,short,124.0
2025-06-09 16:35:00 UTC,2025-06-09 16:45:00 UTC,short,-25.0
2025-06-09 15:00:00 UTC,2025-06-09 20:55:00 UTC,short,4.0
2025-06-09 16:35:00 UTC,2025-06-09 20:55:00 UTC,short,4.0
2025-06-10 15:00:00 UTC,2025-06-10 15:10:00 UTC,long,-25.0
2025-06-10 15:20:00 UTC,2025-06-10 15:30:00 UTC,long,-25.0
2025-06-10 15:00:00 UTC,2025-06-10 20:55:00 UTC,long,44.0
2025-06-10 15:20:00 UTC,2025-06-10 20:55:00 UTC,long,44.0
2025-06-11 15:00:00 UTC,2025-06-11 15:05:00 UTC,long,93.0
2025-06-11 16:05:00 UTC,2025-06-11 16:10:00 UTC,long,-25.0
2025-06-11 15:00:00 UTC,2025-06-11 20:55:00 UTC,long,-108.0
2025-06-11 16:05:00 UTC,2025-06-11 20:55:00 UTC,long,-108.0
2025-06-12 15:00:00 UTC,2025-06-12 15:05:00 UTC,long,115.0
2025-06-12 15:20:00 UTC,2025-06-12 15:30:00 UTC,long,40.0
2025-06-12 15:00:00 UTC,2025-06-12 20:55:00 UTC,long,134.0
2025-06-12 15:20:00 UTC,2025-06-12 20:55:00 UTC,long,134.0
2025-06-13 15:00:00 UTC,2025-06-13 15:10:00 UTC,short,-25.0
2025-06-13 15:30:00 UTC,2025-06-13 15:35:00 UTC,long,-25.0
2025-06-13 15:00:00 UTC,2025-06-13 20:55:00 UTC,short,267.0
2025-06-13 15:30:00 UTC,2025-06-13 20:55:00 UTC,long,-364.0
