entry_ts,exit_ts,direction,pnl_ticks
2024-02-01 11:00:00 UTC,2024-02-01 11:05:00 UTC,short,-25.0
2024-02-01 11:15:00 UTC,2024-02-01 11:20:00 UTC,short,-25.0
2024-02-02 11:00:00 UTC,2024-02-02 11:05:00 UTC,long,75.0
2024-02-05 11:00:00 UTC,2024-02-05 11:05:00 UTC,short,292.0
2024-02-06 11:00:00 UTC,2024-02-06 11:10:00 UTC,long,35.0
2024-02-07 11:00:00 UTC,2024-02-07 11:10:00 UTC,long,15.0
2024-02-07 11:20:00 UTC,2024-02-07 11:35:00 UTC,long,10.0
2024-02-08 11:00:00 UTC,2024-02-08 11:05:00 UTC,short,109.0
2024-02-09 11:00:00 UTC,2024-02-09 11:10:00 UTC,short,30.0
2024-02-12 11:00:00 UTC,2024-02-12 11:05:00 UTC,long,96.0
2024-02-13 11:00:00 UTC,2024-02-13 11:15:00 UTC,short,30.0
2024-02-13 11:25:00 UTC,2024-02-13 12:10:00 UTC,short,75.0
2024-02-14 11:00:00 UTC,2024-02-14 11:05:00 UTC,short,90.0
2024-02-15 11:00:00 UTC,2024-02-15 11:05:00 UTC,long,84.0
2024-02-16 11:20:00 UTC,2024-02-16 11:35:00 UTC,long,-25.0
2024-02-16 11:45:00 UTC,2024-02-16 12:05:00 UTC,long,10.0
2024-02-19 11:00:00 UTC,2024-02-19 12:25:00 UTC,short,5.0
2024-02-19 12:50:00 UTC,2024-02-19 12:59:00 UTC,short,-3.0
2024-02-20 11:00:00 UTC,2024-02-20 11:05:00 UTC,long,76.0
2024-02-20 11:55:00 UTC,2024-02-20 12:00:00 UTC,long,-25.0
2024-02-21 11:00:00 UTC,2024-02-21 11:05:00 UTC,short,-25.0
2024-02-21 11:15:00 UTC,2024-02-21 11:30:00 UTC,long,-25.0
2024-02-22 11:10:00 UTC,2024-02-22 11:40:00 UTC,long,10.0
2024-02-22 11:50:00 UTC,2024-02-22 12:00:00 UTC,long,-25.0
2024-02-23 11:00:00 UTC,2024-02-23 11:15:00 UTC,long,-25.0
2024-02-23 11:25:00 UTC,2024-02-23 12:15:00 UTC,long,10.0
2024-02-26 11:05:00 UTC,2024-02-26 11:15:00 UTC,short,-25.0
2024-02-26 11:35:00 UTC,2024-02-26 11:40:00 UTC,short,-25.0
2024-02-27 11:00:00 UTC,2024-02-27 11:05:00 UTC,short,82.0
2024-02-28 11:00:00 UTC,2024-02-28 11:10:00 UTC,long,40.0
2024-02-28 11:30:00 UTC,2024-02-28 12:00:00 UTC,long,15.0
2024-02-29 11:00:00 UTC,2024-02-29 11:10:00 UTC,short,35.0
2024-03-01 11:00:00 UTC,2024-03-01 11:05:00 UTC,long,76.0
2024-03-01 11:30:00 UTC,2024-03-01 11:35:00 UTC,long,-25.0
2024-03-04 11:00:00 UTC,2024-03-04 11:10:00 UTC,long,40.0
2024-03-05 11:00:00 UTC,2024-03-05 11:05:00 UTC,short,85.0
2024-03-06 11:00:00 UTC,2024-03-06 11:05:00 UTC,long,-25.0
2024-03-06 11:15:00 UTC,2024-03-06 11:30:00 UTC,long,10.0
2024-03-07 11:00:00 UTC,2024-03-07 11:05:00 UTC,long,-25.0
2024-03-07 11:30:00 UTC,2024-03-07 11:35:00 UTC,short,-25.0
2024-03-08 11:00:00 UTC,2024-03-08 11:10:00 UTC,long,35.0
2024-03-08 11:55:00 UTC,2024-03-08 12:05:00 UTC,long,25.0
2024-03-11 11:10:00 UTC,2024-03-11 11:15:00 UTC,short,-25.0
2024-03-11 11:25:00 UTC,2024-03-11 11:30:00 UTC,short,-25.0
2024-03-12 11:00:00 UTC,2024-03-12 11:05:00 UTC,long,118.0
2024-03-12 12:40:00 UTC,2024-03-12 12:45:00 UTC,long,-25.0
2024-03-13 11:00:00 UTC,2024-03-13 11:15:00 UTC,long,75.0
2024-03-14 11:00:00 UTC,2024-03-14 11:05:00 UTC,short,140.0
2024-03-15 11:40:00 UTC,2024-03-15 12:20:00 UTC,short,40.0
2024-03-18 11:00:00 UTC,2024-03-18 11:10:00 UTC,long,20.0
2024-03-18 12:00:00 UTC,2024-03-18 16:55:00 UTC,long,-65.0
2024-03-19 11:00:00 UTC,2024-03-19 11:05:00 UTC,long,107.0
2024-03-20 11:00:00 UTC,2024-03-20 11:05:00 UTC,long,75.0
2024-03-21 11:00:00 UTC,2024-03-21 11:05:00 UTC,long,142.0
2024-03-22 11:00:00 UTC,2024-03-22 11:05:00 UTC,short,147.0
2024-03-25 11:00:00 UTC,2024-03-25 11:35:00 UTC,short,30.0
2024-03-26 11:00:00 UTC,2024-03-26 12:00:00 UTC,long,20.0
2024-03-26 12:15:00 UTC,2024-03-26 16:55:00 UTC,long,-39.0
2024-03-27 11:05:00 UTC,2024-03-27 11:30:00 UTC,long,-25.0
2024-03-27 11:40:00 UTC,2024-03-27 11:55:00 UTC,long,-25.0
2024-03-28 11:00:00 UTC,2024-03-28 11:15:00 UTC,short,45.0
2024-03-28 11:30:00 UTC,2024-03-28 16:55:00 UTC,short,16.0
2024-04-01 11:00:00 UTC,2024-04-01 11:05:00 UTC,short,170.0
2024-04-02 11:00:00 UTC,2024-04-02 11:05:00 UTC,short,75.0
2024-04-03 11:00:00 UTC,2024-04-03 11:05:00 UTC,long,75.0
2024-04-03 12:10:00 UTC,2024-04-03 12:30:00 UTC,long,75.0
2024-04-04 11:00:00 UTC,2024-04-04 11:05:00 UTC,short,75.0
2024-04-04 12:05:00 UTC,2024-04-04 12:55:00 UTC,short,15.0
2024-04-05 11:00:00 UTC,2024-04-05 11:05:00 UTC,long,103.0
2024-04-08 11:10:00 UTC,2024-04-08 11:15:00 UTC,long,-25.0
2024-04-08 11:35:00 UTC,2024-04-08 11:40:00 UTC,short,-25.0
2024-04-09 11:00:00 UTC,2024-04-09 11:05:00 UTC,short,298.0
2024-04-10 11:15:00 UTC,2024-04-10 11:20:00 UTC,short,-25.0
2024-04-10 11:30:00 UTC,2024-04-10 11:45:00 UTC,short,20.0
2024-04-11 11:00:00 UTC,2024-04-11 11:05:00 UTC,short,209.0
2024-04-12 11:00:00 UTC,2024-04-12 11:10:00 UTC,short,25.0
2024-04-12 11:25:00 UTC,2024-04-12 11:30:00 UTC,short,-25.0
2024-04-15 11:00:00 UTC,2024-04-15 11:05:00 UTC,short,213.0
2024-04-16 11:00:00 UTC,2024-04-16 11:05:00 UTC,short,116.0
2024-04-16 11:50:00 UTC,2024-04-16 12:00:00 UTC,short,75.0
2024-04-17 11:00:00 UTC,2024-04-17 11:05:00 UTC,short,75.0
2024-04-18 11:00:00 UTC,2024-04-18 11:05:00 UTC,long,117.0
2024-04-18 12:25:00 UTC,2024-04-18 12:30:00 UTC,long,-25.0
2024-04-19 11:00:00 UTC,2024-04-19 11:05:00 UTC,long,75.0
2024-04-19 12:10:00 UTC,2024-04-19 12:15:00 UTC,long,-25.0
2024-04-22 11:00:00 UTC,2024-04-22 11:05:00 UTC,short,116.0
2024-04-22 12:15:00 UTC,2024-04-22 12:45:00 UTC,short,-25.0
2024-04-23 11:00:00 UTC,2024-04-23 11:10:00 UTC,long,75.0
2024-04-24 11:00:00 UTC,2024-04-24 11:05:00 UTC,short,75.0
2024-04-25 11:00:00 UTC,2024-04-25 11:05:00 UTC,short,148.0
2024-04-25 12:15:00 UTC,2024-04-25 12:20:00 UTC,short,-25.0
2024-04-26 11:00:00 UTC,2024-04-26 11:10:00 UTC,long,35.0
2024-04-26 11:20:00 UTC,2024-04-26 11:45:00 UTC,long,75.0
2024-04-29 11:00:00 UTC,2024-04-29 11:30:00 UTC,long,-25.0
2024-04-29 11:40:00 UTC,2024-04-29 11:45:00 UTC,short,-25.0
2024-04-30 11:05:00 UTC,2024-04-30 11:10:00 UTC,short,75.0
2024-05-01 11:00:00 UTC,2024-05-01 11:05:00 UTC,long,82.0
2024-05-02 11:00:00 UTC,2024-05-02 11:05:00 UTC,short,-25.0
2024-05-02 11:25:00 UTC,2024-05-02 11:35:00 UTC,short,30.0
2024-05-03 11:00:00 UTC,2024-05-03 11:05:00 UTC,short,99.0
2024-05-03 11:30:00 UTC,2024-05-03 11:40:00 UTC,short,-25.0
2024-05-06 11:00:00 UTC,2024-05-06 11:05:00 UTC,short,75.0
2024-05-07 11:00:00 UTC,2024-05-07 11:15:00 UTC,long,5.0
2024-05-07 11:25:00 UTC,2024-05-07 11:30:00 UTC,long,-25.0
2024-05-08 11:00:00 UTC,2024-05-08 11:05:00 UTC,long,80.0
2024-05-09 11:00:00 UTC,2024-05-09 11:05:00 UTC,long,229.0
2024-05-10 11:00:00 UTC,2024-05-10 11:10:00 UTC,short,10.0
2024-05-10 12:10:00 UTC,2024-05-10 12:45:00 UTC,short,-25.0
2024-05-13 11:00:00 UTC,2024-05-13 11:10:00 UTC,short,35.0
2024-05-14 11:30:00 UTC,2024-05-14 16:55:00 UTC,short,-136.0
2024-05-15 11:00:00 UTC,2024-05-15 11:05:00 UTC,long,75.0
