Instrument,Action,Quantity,Price,Time,ID,E/X,Position,Order ID,Name,Commission,Rate,Account,Connection,
CL APR26,Buy,1,6.93,11/9/2020 5:00:00 PM,NT-00187-1766,Exit,-,NT-00198-1766,Exit on session close,$0.00,1,Backtest,,
CL APR26,Sell,1,7.44,11/9/2020 11:36:00 AM,NT-00186-1766,Entry,1 S,NT-00197-1766,Short,$0.00,1,Backtest,,
CL APR26,Sell,1,6.23,11/4/2020 5:00:00 PM,NT-00185-1766,Exit,-,NT-00196-1766,Exit on session close,$0.00,1,Backtest,,
CL APR26,Buy,1,5.83,11/4/2020 11:48:00 AM,NT-00184-1766,Entry,1 L,NT-00195-1766,Long,$0.00,1,Backtest,,
CL APR26,Buy,1,4.47,10/28/2020 5:00:00 PM,NT-00183-1766,Exit,-,NT-00194-1766,Exit on session close,$0.00,1,Backtest,,
CL APR26,Sell,1,4.35,10/28/2020 11:24:00 AM,NT-00182-1766,Entry,1 S,NT-00193-1766,Short,$0.00,1,Backtest,,
CL APR26,Buy,1,5.69,10/26/2020 5:00:00 PM,NT-00181-1766,Exit,-,NT-00192-1766,Exit on session close,$0.00,1,Backtest,,
CL APR26,Sell,1,5.71,10/26/2020 12:00:00 PM,NT-00180-1766,Entry,1 S,NT-00191-1766,Short,$0.00,1,Backtest,,
CL APR26,Sell,1,7.76,10/22/2020 5:00:00 PM,NT-00179-1766,Exit,-,NT-00190-1766,Exit on session close,$0.00,1,Backtest,,
CL APR26,Buy,1,7.73,10/22/2020 11:24:00 AM,NT-00178-1766,Entry,1 L,NT-00189-1766,Long,$0.00,1,Backtest,,
CL APR26,Buy,1,7.33,10/21/2020 5:00:00 PM,NT-00177-1766,Exit,-,NT-00188-1766,Exit on session close,$0.00,1,Backtest,,
CL APR26,Sell,1,6.84,10/21/2020 11:12:00 AM,NT-00176-1766,Entry,1 S,NT-00187-1766,Short,$0.00,1,Backtest,,
CL APR26,Sell,1,8.21,10/20/2020 5:00:00 PM,NT-00175-1766,Exit,-,NT-00186-1766,Exit on session close,$0.00,1,Backtest,,
CL APR26,Buy,1,8.62,10/20/2020 1:36:00 PM,NT-00174-1766,Entry,1 L,NT-00185-1766,Long,$0.00,1,Backtest,,
CL APR26,Buy,1,8.03,10/19/2020 5:00:00 PM,NT-00173-1766,Exit,-,NT-00184-1766,Exit on session close,$0.00,1,Backtest,,
CL APR26,Sell,1,7.91,10/19/2020 12:36:00 PM,NT-00172-1766,Entry,1 S,NT-00183-1766,Short,$0.00,1,Backtest,,
CL APR26,Sell,1,8.50,10/14/2020 5:00:00 PM,NT-00171-1766,Exit,-,NT-00182-1766,Exit on session close,$0.00,1,Backtest,,
CL APR26,Buy,1,8.30,10/14/2020 11:36:00 AM,NT-00170-1766,Entry,1 L,NT-00181-1766,Long,$0.00,1,Backtest,,
CL APR26,Buy,1,8.66,10/8/2020 5:00:00 PM,NT-00169-1766,Exit,-,NT-00180-1766,Exit on session close,$0.00,1,Backtest,,
CL APR26,Sell,1,8.02,10/8/2020 11:36:00 AM,NT-00168-1766,Entry,1 S,NT-00179-1766,Short,$0.00,1,Backtest,,
CL APR26,Buy,1,7.43,10/7/2020 5:00:00 PM,NT-00167-1766,Exit,-,NT-00178-1766,Exit on session close,$0.00,1,Backtest,,
CL APR26,Sell,1,6.99,10/7/2020 11:24:00 AM,NT-00166-1766,Entry,1 S,NT-00177-1766,Short,$0.00,1,Backtest,,
CL APR26,Sell,1,7.22,10/6/2020 5:00:00 PM,NT-00165-1766,Exit,-,NT-00176-1766,Exit on session close,$0.00,1,Backtest,,
CL APR26,Buy,1,8.10,10/6/2020 11:48:00 AM,NT-00164-1766,Entry,1 L,NT-00175-1766,Long,$0.00,1,Backtest,,
CL APR26,Sell,1,7.43,9/25/2020 5:00:00 PM,NT-00163-1766,Exit,-,NT-00174-1766,Exit on session close,$0.00,1,Backtest,,
CL APR26,Buy,1,7.55,9/25/2020 11:36:00 AM,NT-00162-1766,Entry,1 L,NT-00173-1766,Long,$0.00,1,Backtest,,
CL APR26,Sell,1,7.58,9/24/2020 5:00:00 PM,NT-00161-1766,Exit,-,NT-00172-1766,Exit on session close,$0.00,1,Backtest,,
CL APR26,Buy,1,7.30,9/24/2020 11:12:00 AM,NT-00160-1766,Entry,1 L,NT-00171-1766,Long,$0.00,1,Backtest,,
CL APR26,Sell,1,6.98,9/23/2020 5:00:00 PM,NT-00159-1766,Exit,-,NT-00170-1766,Exit on session close,$0.00,1,Backtest,,
CL APR26,Buy,1,7.47,9/23/2020 11:48:00 AM,NT-00158-1766,Entry,1 L,NT-00169-1766,Long,$0.00,1,Backtest,,
CL APR26,Buy,1,7.14,9/22/2020 5:00:00 PM,NT-00157-1766,Exit,-,NT-00168-1766,Exit on session close,$0.00,1,Backtest,,
CL APR26,Sell,1,7.12,9/22/2020 11:36:00 AM,NT-00156-1766,Entry,1 S,NT-00167-1766,Short,$0.00,1,Backtest,,
CL APR26,Sell,1,4.90,9/14/2020 5:00:00 PM,NT-00155-1766,Exit,-,NT-00166-1766,Exit on session close,$0.00,1,Backtest,,
CL APR26,Buy,1,4.89,9/14/2020 11:12:00 AM,NT-00154-1766,Entry,1 L,NT-00165-1766,Long,$0.00,1,Backtest,,
CL APR26,Sell,1,4.64,9/10/2020 5:00:00 PM,NT-00153-1766,Exit,-,NT-00164-1766,Exit on session close,$0.00,1,Backtest,,
CL APR26,Buy,1,5.57,9/10/2020 11:24:00 AM,NT-00152-1766,Entry,1 L,NT-00163-1766,Long,$0.00,1,Backtest,,
CL APR26,Buy,1,4.48,9/8/2020 5:00:00 PM,NT-00151-1766,Exit,-,NT-00162-1766,Exit on session close,$0.00,1,Backtest,,
CL APR26,Sell,1,4.61,9/8/2020 12:24:00 PM,NT-00150-1766,Entry,1 S,NT-00161-1766,Short,$0.00,1,Backtest,,
CL APR26,Sell,1,6.71,9/7/2020 1:00:00 PM,NT-00149-1766,Exit,-,NT-00160-1766,Exit on session close,$0.00,1,Backtest,,
