instrument,contracts,direction,entry_ts_et,exit_ts_et,hold_minutes,entry_price,exit_price,entry_trigger,exit_reason,pnl_ticks,pnl_usd
YM,1,short,2025-02-07 11:00:00,2025-02-07 11:05:00,5.0,44864.0,44554.0,44864.0,profit_target,310.0,1550.0
MNQ,4,short,2025-02-07 11:00:00,2025-02-07 16:55:00,355.0,21925.5,21576.5,21925.5,close_all_flatten,1396.0,2792.0
YM,1,short,2025-02-07 11:00:00,2025-02-07 16:55:00,355.0,44864.0,44409.0,44864.0,close_all_flatten,455.0,2275.0
MNQ,4,long,2025-02-10 11:00:00,2025-02-10 11:05:00,5.0,21809.5,21877.0,21809.5,profit_target,270.0,540.0
YM,1,short,2025-02-10 11:00:00,2025-02-10 11:05:00,5.0,44653.0,44518.0,44653.0,profit_target,135.0,675.0
MNQ,4,long,2025-02-10 11:00:00,2025-02-10 16:55:00,355.0,21809.5,21834.5,21809.5,close_all_flatten,100.0,200.0
YM,1,short,2025-02-10 11:00:00,2025-02-10 16:55:00,355.0,44653.0,44580.0,44653.0,close_all_flatten,73.0,365.0
YM,1,long,2025-02-11 11:00:00,2025-02-11 11:05:00,5.0,44468.0,44601.0,44468.0,profit_target,133.0,665.0
MNQ,4,long,2025-02-11 11:00:00,2025-02-11 11:55:00,55.0,21806.5,21786.5,21806.5,stop_loss,-80.0,-160.0
MNQ,4,short,2025-02-11 12:05:00,2025-02-11 12:20:00,15.0,21767.0,21787.0,21767.0,stop_loss,-80.0,-160.0
MNQ,4,long,2025-02-11 11:00:00,2025-02-11 16:55:00,355.0,21806.5,21796.25,21806.5,close_all_flatten,-41.0,-82.0
YM,1,long,2025-02-11 11:00:00,2025-02-11 16:55:00,355.0,44468.0,44704.0,44468.0,close_all_flatten,236.0,1180.0
MNQ,4,short,2025-02-11 12:05:00,2025-02-11 16:55:00,290.0,21767.0,21796.25,21767.0,close_all_flatten,-117.0,-234.0
MGC,5,long,2025-02-11 12:24:00,2025-02-11 16:55:00,271.0,2932.2,2927.6,2932.2,close_all_flatten,-45.99999999999909,-229.99999999999545
MNQ,4,long,2025-02-12 11:00:00,2025-02-12 11:10:00,10.0,21701.5,21681.5,21701.5,stop_loss,-80.0,-160.0
YM,1,long,2025-02-12 11:00:00,2025-02-12 11:10:00,10.0,44333.0,44368.0,44333.0,stop_loss,35.0,175.0
YM,1,short,2025-02-12 11:20:00,2025-02-12 11:30:00,10.0,44250.0,44275.0,44250.0,stop_loss,-25.0,-125.0
MNQ,4,long,2025-02-12 11:35:00,2025-02-12 11:55:00,20.0,21701.5,21761.5,21701.5,profit_target,240.0,480.0
MNQ,4,long,2025-02-12 11:00:00,2025-02-12 16:55:00,355.0,21701.5,21856.25,21701.5,close_all_flatten,619.0,1238.0
YM,1,long,2025-02-12 11:00:00,2025-02-12 16:55:00,355.0,44333.0,44515.0,44333.0,close_all_flatten,182.0,910.0
YM,1,short,2025-02-12 11:20:00,2025-02-12 16:55:00,335.0,44250.0,44515.0,44250.0,close_all_flatten,-265.0,-1325.0
MNQ,4,long,2025-02-12 11:35:00,2025-02-12 16:55:00,320.0,21701.5,21856.25,21701.5,close_all_flatten,619.0,1238.0
MGC,5,long,2025-02-12 12:00:00,2025-02-12 16:55:00,295.0,2926.7,2928.3,2926.7,close_all_flatten,16.000000000003638,80.00000000001819
MNQ,4,long,2025-02-13 11:00:00,2025-02-13 11:05:00,5.0,21951.5,22033.0,21951.5,profit_target,326.0,652.0
MNQ,4,long,2025-02-13 11:00:00,2025-02-13 16:55:00,355.0,21951.5,22081.5,21951.5,close_all_flatten,520.0,1040.0
