instrument,contracts,direction,entry_ts_et,exit_ts_et,hold_minutes,entry_price,exit_price,entry_trigger,exit_reason,pnl_ticks,pnl_usd
YM,1,short,2025-06-30 11:00:00,2025-06-30 11:05:00,5.0,44334.0,44236.0,44334.0,profit_target,98.0,490.0
YM,1,short,2025-06-30 11:30:00,2025-06-30 11:35:00,5.0,44334.0,44359.0,44334.0,stop_loss,-25.0,-125.0
CL,1,short,2025-06-30 10:36:00,2025-06-30 16:55:00,379.0,65.02,64.97,65.02,close_all_flatten,4.999999999999716,49.99999999999716
YM,1,short,2025-06-30 11:00:00,2025-06-30 16:55:00,355.0,44334.0,44353.0,44334.0,close_all_flatten,-19.0,-95.0
YM,1,short,2025-06-30 11:30:00,2025-06-30 16:55:00,325.0,44334.0,44353.0,44334.0,close_all_flatten,-19.0,-95.0
MNQ,2,long,2025-06-30 11:40:00,2025-06-30 16:55:00,315.0,22847.5,22874.0,22847.5,close_all_flatten,106.0,106.0
MGC,7,long,2025-06-30 12:00:00,2025-06-30 16:55:00,295.0,3298.5,3315.3,3298.5,close_all_flatten,168.00000000000182,1176.0000000000127
CL,1,short,2025-06-30 12:12:00,2025-06-30 16:55:00,283.0,65.02,64.97,65.02,close_all_flatten,4.999999999999716,49.99999999999716
CL,1,short,2025-07-01 10:36:00,2025-07-01 11:00:00,24.0,65.35,65.3,65.35,stop_loss,4.999999999999716,49.99999999999716
MNQ,2,short,2025-07-01 11:00:00,2025-07-01 11:05:00,5.0,22779.5,22714.75,22779.5,profit_target,259.0,259.0
YM,1,long,2025-07-01 11:00:00,2025-07-01 11:05:00,5.0,44371.0,44708.0,44371.0,profit_target,337.0,1685.0
CL,1,short,2025-07-01 10:36:00,2025-07-01 16:55:00,379.0,65.35,65.56,65.35,close_all_flatten,-21.000000000000796,-210.00000000000796
MNQ,2,short,2025-07-01 11:00:00,2025-07-01 16:55:00,355.0,22779.5,22686.0,22779.5,close_all_flatten,374.0,374.0
YM,1,long,2025-07-01 11:00:00,2025-07-01 16:55:00,355.0,44371.0,44814.0,44371.0,close_all_flatten,443.0,2215.0
CL,1,short,2025-07-01 11:24:00,2025-07-01 16:55:00,331.0,65.35,65.56,65.35,close_all_flatten,-21.000000000000796,-210.00000000000796
MGC,7,short,2025-07-01 12:00:00,2025-07-01 16:55:00,295.0,3355.7,3350.5,3355.7,close_all_flatten,51.99999999999818,363.99999999998727
CL,1,short,2025-07-02 10:36:00,2025-07-02 11:00:00,24.0,66.0,65.65,66.0,stop_loss,34.99999999999943,349.9999999999943
MNQ,2,long,2025-07-02 11:00:00,2025-07-02 11:05:00,5.0,22728.75,22830.25,22728.75,profit_target,406.0,406.0
YM,1,short,2025-07-02 11:00:00,2025-07-02 11:10:00,10.0,44741.0,44736.0,44741.0,stop_loss,5.0,25.0
YM,1,long,2025-07-02 11:20:00,2025-07-02 11:40:00,20.0,44801.0,44821.0,44801.0,stop_loss,20.0,100.0
CL,1,short,2025-07-02 11:24:00,2025-07-02 11:48:00,24.0,66.0,65.85,66.0,stop_loss,15.000000000000568,150.00000000000568
CL,1,short,2025-07-02 10:36:00,2025-07-02 16:55:00,379.0,66.0,67.51,66.0,close_all_flatten,-151.0000000000005,-1510.000000000005
MNQ,2,long,2025-07-02 11:00:00,2025-07-02 16:55:00,355.0,22728.75,22853.75,22728.75,close_all_flatten,500.0,500.0
YM,1,short,2025-07-02 11:00:00,2025-07-02 16:55:00,355.0,44741.0,44801.0,44741.0,close_all_flatten,-60.0,-300.0
YM,1,long,2025-07-02 11:20:00,2025-07-02 16:55:00,335.0,44801.0,44801.0,44801.0,close_all_flatten,0.0,0.0
CL,1,short,2025-07-02 11:24:00,2025-07-02 16:55:00,331.0,66.0,67.51,66.0,close_all_flatten,-151.0000000000005,-1510.000000000005
MGC,7,long,2025-07-02 12:16:00,2025-07-02 16:55:00,279.0,3358.8,3367.4,3358.8,close_all_flatten,85.99999999999909,601.9999999999936
CL,1,short,2025-07-03 10:36:00,2025-07-03 11:00:00,24.0,67.02,66.92,67.02,stop_loss,9.999999999999432,99.99999999999432
MNQ,2,long,2025-07-03 11:00:00,2025-07-03 11:05:00,5.0,22998.0,23058.0,22998.0,profit_target,240.0,240.0
YM,1,long,2025-07-03 11:00:00,2025-07-03 11:05:00,5.0,44869.0,45143.0,44869.0,profit_target,274.0,1370.0
MNQ,2,long,2025-07-03 11:00:00,2025-07-03 13:14:00,134.0,22998.0,23059.0,22998.0,close_all_flatten,244.0,244.0
YM,1,long,2025-07-03 11:00:00,2025-07-03 13:14:00,134.0,44869.0,45110.0,44869.0,close_all_flatten,241.0,1205.0
CL,1,short,2025-07-03 10:36:00,2025-07-03 16:55:00,379.0,67.02,67.14,67.02,close_all_flatten,-12.000000000000455,-120.00000000000455
MNQ,2,long,2025-07-04 11:00:00,2025-07-04 11:15:00,15.0,22935.5,22915.5,22935.5,stop_loss,-80.0,-80.0
YM,1,long,2025-07-04 11:00:00,2025-07-04 11:20:00,20.0,44880.0,44855.0,44880.0,stop_loss,-25.0,-125.0
CL,1,long,2025-07-04 10:36:00,2025-07-04 11:24:00,48.0,66.45,66.5,66.45,stop_loss,4.999999999999716,49.99999999999716
