Instrument,Action,Quantity,Price,Time,ID,E/X,Position,Order ID,Name,Commission,Rate,Account,Connection,
YM MAR26,Buy,1,36196,6/27/2022 11:25:00 AM,NT-00346-1656,Entry,1 L,NT-00362-1656,Long,$0.00,1,Backtest,,
YM MAR26,Buy,1,34571,6/17/2022 5:00:00 PM,NT-00345-1656,Exit,-,NT-00361-1656,Exit on session close,$0.00,1,Backtest,,
YM MAR26,Sell,1,34557,6/17/2022 11:25:00 AM,NT-00344-1656,Entry,1 S,NT-00360-1656,Short,$0.00,1,Backtest,,
YM MAR26,Buy,1,35314,6/15/2022 5:00:00 PM,NT-00343-1656,Exit,-,NT-00359-1656,Exit on session close,$0.00,1,Backtest,,
YM MAR26,Sell,1,35183,6/15/2022 11:05:00 AM,NT-00342-1656,Entry,1 S,NT-00358-1656,Short,$0.00,1,Backtest,,
YM MAR26,Buy,1,35152,6/13/2022 5:00:00 PM,NT-00341-1656,Exit,-,NT-00357-1656,Exit on session close,$0.00,1,Backtest,,
YM MAR26,Sell,1,35345,6/13/2022 11:45:00 AM,NT-00340-1656,Entry,1 S,NT-00356-1656,Short,$0.00,1,Backtest,,
YM MAR26,Sell,1,37547,6/8/2022 5:00:00 PM,NT-00339-1656,Exit,-,NT-00355-1656,Exit on session close,$0.00,1,Backtest,,
YM MAR26,Buy,1,37638,6/8/2022 11:10:00 AM,NT-00338-1656,Entry,1 L,NT-00354-1656,Long,$0.00,1,Backtest,,
YM MAR26,Buy,1,37543,6/3/2022 5:00:00 PM,NT-00337-1656,Exit,-,NT-00352-1656,Exit on session close,$0.00,1,Backtest,,
YM MAR26,Sell,1,37597,6/3/2022 11:05:00 AM,NT-00336-1656,Entry,1 S,NT-00351-1656,Short,$0.00,1,Backtest,,
YM MAR26,Buy,1,37889,6/2/2022 5:00:00 PM,NT-00335-1656,Exit,-,NT-00350-1656,Exit on session close,$0.00,1,Backtest,,
YM MAR26,Sell,1,37419,6/2/2022 11:20:00 AM,NT-00334-1656,Entry,1 S,NT-00349-1656,Short,$0.00,1,Backtest,,
YM MAR26,Sell,1,37667,5/31/2022 5:00:00 PM,NT-00333-1656,Exit,-,NT-00348-1656,Exit on session close,$0.00,1,Backtest,,
YM MAR26,Buy,1,37638,5/31/2022 11:05:00 AM,NT-00332-1656,Entry,1 L,NT-00347-1656,Long,$0.00,1,Backtest,,
YM MAR26,Buy,1,37909,5/30/2022 1:00:00 PM,NT-00331-1656,Exit,-,NT-00346-1656,Exit on session close,$0.00,1,Backtest,,
YM MAR26,Sell,1,37890,5/30/2022 11:05:00 AM,NT-00330-1656,Entry,1 S,NT-00345-1656,Short,$0.00,1,Backtest,,
YM MAR26,Buy,1,36569,5/24/2022 5:00:00 PM,NT-00329-1656,Exit,-,NT-00344-1656,Exit on session close,$0.00,1,Backtest,,
YM MAR26,Sell,1,36268,5/24/2022 12:20:00 PM,NT-00328-1656,Entry,1 S,NT-00343-1656,Short,$0.00,1,Backtest,,
