entry_ts,exit_ts,direction,pnl_ticks
2024-11-19 11:00:00 UTC,2024-11-19 11:05:00 UTC,long,280.0
2024-11-20 11:00:00 UTC,2024-11-20 11:25:00 UTC,short,240.0
2024-11-20 11:40:00 UTC,2024-11-20 11:45:00 UTC,short,-80.0
2024-11-21 12:25:00 UTC,2024-11-21 16:55:00 UTC,long,8.0
2024-11-22 11:15:00 UTC,2024-11-22 11:50:00 UTC,short,-80.0
2024-11-25 11:00:00 UTC,2024-11-25 11:20:00 UTC,short,-80.0
2024-11-25 11:35:00 UTC,2024-11-25 12:10:00 UTC,short,240.0
2024-11-26 11:00:00 UTC,2024-11-26 11:05:00 UTC,short,-80.0
2024-11-26 11:15:00 UTC,2024-11-26 12:55:00 UTC,short,-80.0
2024-11-27 11:00:00 UTC,2024-11-27 11:05:00 UTC,short,489.0
2024-11-28 11:00:00 UTC,2024-11-28 12:59:00 UTC,long,-21.0
2024-11-29 11:00:00 UTC,2024-11-29 11:05:00 UTC,long,281.0
2024-12-02 11:00:00 UTC,2024-12-02 11:40:00 UTC,long,240.0
2024-12-03 11:00:00 UTC,2024-12-03 12:35:00 UTC,long,-80.0
2024-12-03 12:45:00 UTC,2024-12-03 16:55:00 UTC,long,454.0
2024-12-04 11:00:00 UTC,2024-12-04 11:05:00 UTC,long,240.0
2024-12-05 11:00:00 UTC,2024-12-05 11:15:00 UTC,short,-80.0
2024-12-05 12:10:00 UTC,2024-12-05 16:55:00 UTC,long,-381.0
2024-12-06 11:00:00 UTC,2024-12-06 11:10:00 UTC,long,-80.0
2024-12-06 11:25:00 UTC,2024-12-06 16:55:00 UTC,long,75.0
2024-12-09 11:00:00 UTC,2024-12-09 11:05:00 UTC,short,393.0
2024-12-10 11:00:00 UTC,2024-12-10 11:30:00 UTC,short,240.0
2024-12-11 11:00:00 UTC,2024-12-11 11:25:00 UTC,long,240.0
2024-12-12 11:00:00 UTC,2024-12-12 11:55:00 UTC,long,-80.0
2024-12-12 12:05:00 UTC,2024-12-12 16:55:00 UTC,long,-208.0
2024-12-13 11:00:00 UTC,2024-12-13 11:05:00 UTC,short,464.0
2024-12-16 11:00:00 UTC,2024-12-16 11:05:00 UTC,long,240.0
2024-12-17 11:30:00 UTC,2024-12-17 11:50:00 UTC,long,-80.0
2024-12-18 11:00:00 UTC,2024-12-18 11:15:00 UTC,long,-80.0
2024-12-18 11:25:00 UTC,2024-12-18 16:55:00 UTC,long,-3315.0
2024-12-19 11:00:00 UTC,2024-12-19 11:05:00 UTC,short,309.0
2024-12-19 11:20:00 UTC,2024-12-19 11:25:00 UTC,short,-80.0
2024-12-20 11:00:00 UTC,2024-12-20 11:05:00 UTC,long,1155.0
2024-12-23 11:40:00 UTC,2024-12-23 12:15:00 UTC,long,-80.0
2024-12-23 12:25:00 UTC,2024-12-23 16:55:00 UTC,long,246.0
2024-12-24 11:00:00 UTC,2024-12-24 11:05:00 UTC,long,301.0
2024-12-26 11:00:00 UTC,2024-12-26 11:25:00 UTC,long,-80.0
2024-12-26 11:35:00 UTC,2024-12-26 12:15:00 UTC,long,240.0
2024-12-27 11:00:00 UTC,2024-12-27 11:05:00 UTC,short,475.0
2024-12-30 11:15:00 UTC,2024-12-30 11:40:00 UTC,long,240.0
2024-12-31 11:00:00 UTC,2024-12-31 11:15:00 UTC,short,240.0
2025-01-02 12:25:00 UTC,2025-01-02 12:30:00 UTC,short,240.0
2025-01-03 11:30:00 UTC,2025-01-03 16:55:00 UTC,long,200.0
2025-01-06 11:00:00 UTC,2025-01-06 12:15:00 UTC,long,-80.0
2025-01-07 11:00:00 UTC,2025-01-07 11:05:00 UTC,short,597.0
2025-01-08 11:05:00 UTC,2025-01-08 11:10:00 UTC,short,-80.0
2025-01-08 11:35:00 UTC,2025-01-08 12:00:00 UTC,long,-80.0
2025-01-10 11:00:00 UTC,2025-01-10 11:05:00 UTC,short,240.0
2025-01-10 12:40:00 UTC,2025-01-10 12:55:00 UTC,short,-80.0
2025-01-13 12:15:00 UTC,2025-01-13 12:55:00 UTC,long,240.0
2025-01-14 11:00:00 UTC,2025-01-14 11:05:00 UTC,short,410.0
2025-01-15 11:00:00 UTC,2025-01-15 11:05:00 UTC,long,-80.0
2025-01-15 11:15:00 UTC,2025-01-15 11:20:00 UTC,long,-80.0
2025-01-16 11:05:00 UTC,2025-01-16 11:10:00 UTC,long,-80.0
2025-01-16 11:35:00 UTC,2025-01-16 11:55:00 UTC,short,-80.0
2025-01-17 11:00:00 UTC,2025-01-17 12:00:00 UTC,long,-80.0
2025-01-17 12:10:00 UTC,2025-01-17 16:55:00 UTC,long,-11.0
2025-01-20 11:00:00 UTC,2025-01-20 12:25:00 UTC,short,240.0
2025-01-21 12:35:00 UTC,2025-01-21 16:55:00 UTC,long,251.0
2025-01-22 11:00:00 UTC,2025-01-22 11:50:00 UTC,long,240.0
